fecha;referencia;codigo;descripcion;debitos;creditos;balance;source_file
2025-12-22;122100000;CP;VERTIGO LINCOLN PLAZA\SAN JOSE;44500.0;0.0;31813.91;gastos diciembre 2025.xls
2025-12-22;122100000;CP;DUNKIN LINCOLN PLAZA\ MORAVIA;3050.0;0.0;28763.91;gastos diciembre 2025.xls
2025-12-23;122200000;CP;LOS ANTOJOS DE MI ABUESAN JOSE;2400.0;0.0;26363.91;gastos diciembre 2025.xls
2025-12-23;122200000;CP;UNOPETROL BARREAL\    HEREDIA;15000.0;0.0;11363.91;gastos diciembre 2025.xls
2025-12-23;122200000;CP;AVENIDA PARQUEOS\     ESCAZU;4000.0;0.0;7363.91;gastos diciembre 2025.xls
2025-12-23;122200000;CP;CAFETIN LEYENDA PREVE\SAN JOSE;1300.0;0.0;6063.91;gastos diciembre 2025.xls
2025-12-23;966531216;TF;SINPE_Móvil_Bandejas_______;0.0;4000.0;10063.91;gastos diciembre 2025.xls
2025-12-23;406444416;TF;TEF DE: 959932377;0.0;25000.0;35063.91;gastos diciembre 2025.xls
2025-12-24;406443905;TF;TEF DE: 959932377;0.0;10000.0;45063.91;gastos diciembre 2025.xls
2025-12-24;406485546;TF;TEF DE: 959932377;0.0;5000.0;50063.91;gastos diciembre 2025.xls
2025-12-25;122400000;CP;BONITA 2\             SAN JOSE;18250.0;0.0;31813.91;gastos diciembre 2025.xls
2025-12-25;122400000;CP;SUPER MEGA MAS Y MAS\ HEREDIA;4750.0;0.0;27063.91;gastos diciembre 2025.xls
2025-12-25;122400000;CP;SUPER MEGA MAS Y MAS\ HEREDIA;3800.0;0.0;23263.91;gastos diciembre 2025.xls
2025-12-26;122500000;CP;TRUEBEAUTY\           SAN JOSE;800.0;0.0;22463.91;gastos diciembre 2025.xls
2025-12-26;406459213;TF;TEF DE: 959932377;0.0;9500.0;31963.91;gastos diciembre 2025.xls
2025-12-26;406464845;TF;TEF DE: 959932377;0.0;6000.0;37963.91;gastos diciembre 2025.xls
2025-12-27;122600000;CP;SATAY UNIVERSAL\      SAN JOSE;5500.0;0.0;32463.91;gastos diciembre 2025.xls
2025-12-27;122600000;CP;SUPER MEGA MAS Y MAS\ HEREDIA;5900.0;0.0;26563.91;gastos diciembre 2025.xls
2025-12-27;122600000;CP;SUPER MEGA MAS Y MAS\ HEREDIA;3700.0;0.0;22863.91;gastos diciembre 2025.xls
2025-12-27;122600000;CP;AM PM SANTO DOMINGO\  HEREDIA;2800.0;0.0;20063.91;gastos diciembre 2025.xls
2025-12-28;122700000;CP;MXM STO DOMING OCN00PVHEREDIA;2470.0;0.0;17593.91;gastos diciembre 2025.xls
2025-12-28;122700000;CP;PIEL DE MIEL\         HEREDIA;9500.0;0.0;8093.91;gastos diciembre 2025.xls
2025-12-29;406402114;TF;TEF DE: 959932377;0.0;15000.0;23093.91;gastos diciembre 2025.xls
2025-12-31;123000000;CP;VIVERO RIO FRIO       SANTO DO;4407.0;0.0;18686.91;gastos diciembre 2025.xls
2025-12-31;123000000;CP;MINISO PLAZA LA CULTURSAN JOSE;4200.0;0.0;14486.91;gastos diciembre 2025.xls
2025-12-31;406427158;TF;TEF DE: 959932377;0.0;15000.0;29486.91;gastos diciembre 2025.xls
2026-01-01;123100000;CP;DUNKIN AVENIDA CENTRALSAN JOSE;10290.0;0.0;19196.91;gastos enero 2026.xls
2026-01-01;39932;TF;SEGURO BELD121489;1774.5;0.0;17422.41;gastos enero 2026.xls
2026-01-02;10100000;CP;CENTRO DE ARTICULOS CHSAN JOSE;12250.0;0.0;5172.41;gastos enero 2026.xls
2026-01-03;10200000;CP;MUNDOVENDING NAYAX   \HEREDIA;700.0;0.0;4472.41;gastos enero 2026.xls
2026-01-05;406466451;TF;TEF DE: 959932377;0.0;9900.0;14372.41;gastos enero 2026.xls
2026-01-07;10600000;CP;MXM STO DOMING OCN00PVHEREDIA;1530.0;0.0;12842.41;gastos enero 2026.xls
2026-01-07;10600000;CP;LIBRERIA INTERNACIONALSAN JOSE;8910.0;0.0;3932.41;gastos enero 2026.xls
2026-01-08;966509165;TF;SINPE MOVIL Moyo___________;6900.0;0.0;-2967.59;gastos enero 2026.xls
2026-01-08;406441929;TF;TEF DE: 959932377;0.0;6000.0;3032.41;gastos enero 2026.xls
2026-01-08;406442437;TF;TEF DE: 959932377;0.0;3000.0;6032.41;gastos enero 2026.xls
2026-01-09;10800000;CP;GESSA PERI LA GRAN VIASAN JOSE;3100.0;0.0;2932.41;gastos enero 2026.xls
2026-01-09;966480984;TF;SINPE MOVIL Mermeladas_____;10000.0;0.0;-7067.59;gastos enero 2026.xls
2026-01-09;406429718;TF;TEF DE: 959932377;0.0;15000.0;7932.41;gastos enero 2026.xls
2026-01-09;406464715;TF;TEF DE: 959932377;0.0;50000.0;57932.41;gastos enero 2026.xls
2026-01-12;11100000;CP;PIZZA HUT MULTIPLAZA EESCAZU;9700.0;0.0;48232.41;gastos enero 2026.xls
2026-01-12;11100000;CP;BATH & BODY WORKS\    SAN JOSE;9225.0;0.0;39007.41;gastos enero 2026.xls
2026-01-12;11100000;CP;H&M\                  SAN JOSE;12900.0;0.0;26107.41;gastos enero 2026.xls
2026-01-12;11100000;CP;AM PM LAGUNILLA\      HEREDIA;2620.0;0.0;23487.41;gastos enero 2026.xls
2026-01-12;966538815;TF;SINPE MOVIL Uber___________;2790.0;0.0;20697.41;gastos enero 2026.xls
2026-01-13;406477915;TF;TEF DE: 959932377;0.0;10000.0;30697.41;gastos enero 2026.xls
2026-01-14;11300000;CP;MEDISMART             TIBAS;7255.0;0.0;23442.41;gastos enero 2026.xls
2026-01-14;966509372;TF;SINPE MOVIL Didi___________;2880.0;0.0;20562.41;gastos enero 2026.xls
2026-01-14;966546818;TF;SINPE_Móvil_Sin_Descripcion;0.0;50000.0;70562.41;gastos enero 2026.xls
2026-01-15;11400000;CP;WEBCHECKOUT NAVIERA T\SAN JOSE;15071.73;0.0;55490.68;gastos enero 2026.xls
2026-01-17;11600000;CP;SODA FERRY TAMBOR 4 (1PUNTAREN;9600.0;0.0;45890.68;gastos enero 2026.xls
2026-01-17;11600000;CP;NAVIERA TAMBOR       \PUNTAREN;810.0;0.0;45080.68;gastos enero 2026.xls
2026-01-17;966443222;TF;SINPE MOVIL Fotos__________;10000.0;0.0;35080.68;gastos enero 2026.xls
2026-01-18;11700000;CP;PALI PAQUERA VCN00PV\ PUNTAREN;1220.0;0.0;33860.68;gastos enero 2026.xls
2026-01-18;966839942;TF;SINPE MOVIL Uber___________;1900.0;0.0;31960.68;gastos enero 2026.xls
2026-01-19;11800000;CP;WEBCHECKOUT NAVIERA T\SAN JOSE;15973.26;0.0;15987.42;gastos enero 2026.xls
2026-01-20;11900000;CP;TIENDA TO GO FERRY TAMPUNTAREN;3100.0;0.0;12887.42;gastos enero 2026.xls
2026-01-20;11900000;CP;PALI PAQUERA VCN00PV\ PUNTAREN;1340.0;0.0;11547.42;gastos enero 2026.xls
2026-01-20;958481963;TS;SINPE MOVIL Limones________;1000.0;0.0;10547.42;gastos enero 2026.xls
2026-01-21;12000000;CP;POPS LAGUNILLA HEREDIAHEREDIA;6225.0;0.0;4322.42;gastos enero 2026.xls
2026-01-21;12000000;CP;MUNDOVENDING NAYAX   \HEREDIA;400.0;0.0;3922.42;gastos enero 2026.xls
2026-01-21;406415396;TF;TEF DE: 959932377;0.0;2000.0;5922.42;gastos enero 2026.xls
2026-01-22;12100000;CP;SUPER MEGA MAS Y MAS\ HEREDIA;1710.0;0.0;4212.42;gastos enero 2026.xls
2026-01-22;406491576;TF;TEF DE: 959932377;0.0;5000.0;9212.42;gastos enero 2026.xls
2026-01-23;966557234;TF;SINPE_Móvil_Gas____________;0.0;5000.0;14212.42;gastos enero 2026.xls
2026-01-23;966484811;TF;SINPE MOVIL Sushi__________;5000.0;0.0;9212.42;gastos enero 2026.xls
2026-01-23;406496249;TF;TEF DE: 959932377;0.0;25000.0;34212.42;gastos enero 2026.xls
